Number of Units (Dense_1),Number of Units (Dense_2),Dropout Rate,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation MRR,Validation Precision,Validation Recall,Validation Accuracy Adjusted
1536,1536,0.1,0.0003,0.2674824297428131,0.8965997099876404,0.24811646342277527,0.9011430144309998,0.6545621960955051,0.4622178606476938,0.46071079230518425,0.8922926192031352
1536,1536,0.1,0.0002,0.26778343319892883,0.895930290222168,0.3002794086933136,0.9007185101509094,0.6378269727224639,0.4439359267734554,0.442777958917509,0.8886348791639451
1536,1536,0.1,0.0001,0.2688559293746948,0.896293580532074,0.2510126233100891,0.8964076042175293,0.6677572237255434,0.48169934640522877,0.48059993478969676,0.8961789679947747
1536,1536,0.2,0.0003,0.26949986815452576,0.8962405323982239,0.24634048342704773,0.8987590074539185,0.6605644718152864,0.469761359921543,0.4685360286925334,0.8937949052906597
1536,1536,0.2,0.0002,0.27203500270843506,0.8956404328346252,0.24878649413585663,0.9020901322364807,0.6639955470540038,0.4759725400457666,0.4747310074991849,0.8950359242325278
1536,1536,0.2,0.0001,0.2705795466899872,0.896914005279541,0.24396465718746185,0.8997713923454285,0.670420697127097,0.4843034663178548,0.48288229540267363,0.8967015022860875
1536,768,0.1,0.0003,0.2677652835845947,0.8963344097137451,0.24580606818199158,0.9019594788551331,0.663390200408487,0.479568486433475,0.47831757417671994,0.895754408883083
1536,768,0.1,0.0002,0.2687583267688751,0.8959956169128418,0.242678701877594,0.8991835117340088,0.680880973116439,0.4985289310232102,0.4972285621128138,0.8995427824951012
1536,768,0.1,0.0001,0.26574212312698364,0.8976283669471741,0.24448710680007935,0.900947093963623,0.6670466444796928,0.47972531066056245,0.47831757417671994,0.89578706727629
1536,768,0.2,0.0003,0.27108195424079895,0.8961710929870605,0.2444860190153122,0.8985303640365601,0.6684965734606468,0.482837528604119,0.4815780893381154,0.896407576747224
1536,768,0.2,0.0002,0.27105826139450073,0.8960241675376892,0.25409048795700073,0.9015023112297058,0.6465547987102513,0.4562377531025473,0.4554939680469514,0.8910842586544742
1536,768,0.2,0.0001,0.2715862989425659,0.896828293800354,0.26150432229042053,0.9026126861572266,0.6630923869656704,0.4748201438848921,0.4734268014346267,0.8948073154800784
768,1536,0.1,0.0003,0.26418620347976685,0.8977304100990295,0.25213804841041565,0.9017308950424194,0.6432533202699748,0.4517500817795224,0.45027714378871864,0.8902024820378838
768,1536,0.1,0.0002,0.2643042802810669,0.8978814482688904,0.247062087059021,0.9003266096115112,0.6573062787056891,0.46797385620915033,0.4669057711118357,0.8934356629653821
768,1536,0.1,0.0001,0.2659623622894287,0.89873868227005,0.24329626560211182,0.9013716578483582,0.6705018247229199,0.48593852190974496,0.48451255298337137,0.8970280862181581
768,1536,0.2,0.0003,0.267294317483902,0.8975059390068054,0.24767693877220154,0.9030045866966248,0.6659448124993501,0.4805491990846682,0.4792957287251386,0.8959503592423252
768,1536,0.2,0.0002,0.26781517267227173,0.89793860912323,0.246296226978302,0.8998693823814392,0.6679378816625691,0.4818568159529258,0.48059993478969676,0.8962116263879817
768,1536,0.2,0.0001,0.2695957124233246,0.8975957036018372,0.24349360167980194,0.9005551934242249,0.6612539267829907,0.46714612618502777,0.465927616563417,0.8932723709993469
768,768,0.1,0.0003,0.26402223110198975,0.8981916904449463,0.30173459649086,0.9005878567695618,0.6298175017884344,0.4351095129127166,0.4339745679817411,0.8868713259307642
768,768,0.1,0.0002,0.26426079869270325,0.8977916836738586,0.25657570362091064,0.9010124206542969,0.6561007692865924,0.4647058823529412,0.46364525595044015,0.892782495101241
768,768,0.1,0.0001,0.26993730664253235,0.8975222706794739,0.2481137365102768,0.8991509079933167,0.6511740173970723,0.45751633986928103,0.45647212259537007,0.8913455258001306
768,768,0.2,0.0003,0.26634854078292847,0.8979876041412354,0.2415846586227417,0.9012083411216736,0.6685079779789104,0.48594771241830065,0.48483860449951094,0.8970280862181581
768,768,0.2,0.0002,0.267585813999176,0.8973385691642761,0.26621416211128235,0.8915414810180664,0.6504345380651697,0.46176470588235297,0.46071079230518425,0.892194644023514
768,768,0.2,0.0001,0.2702886760234833,0.8987305164337158,0.26042723655700684,0.9007837772369385,0.6570371061553271,0.46876022244030097,0.46723182262797525,0.8935989549314174
