Number of Units (Dense_1),Number of Units (Dense_2),Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation MRR,Validation Precision,Validation Recall,Validation Accuracy Adjusted
1024,512,0.0003,0.18422095477581024,0.9147073030471802,0.19505320489406586,0.9104833602905273,0.782678221517215,0.631458469587966,0.6296054776654711,0.9260940561724363
1024,512,0.0002,0.18270817399024963,0.9144501686096191,0.18790188431739807,0.9118549823760986,0.7847989435268982,0.6348479895390651,0.6331920443430062,0.9267798824297845
1024,512,0.0001,0.18511244654655457,0.9149196147918701,0.18607904016971588,0.9129653573036194,0.7839386799788488,0.6355017979731938,0.6338441473752853,0.9269105160026126
1024,256,0.0003,0.18459847569465637,0.9139930009841919,0.18898262083530426,0.9127694368362427,0.78099475910547,0.6291693917593199,0.6273231170524943,0.9256368386675375
1024,256,0.0002,0.1839667111635208,0.9147440791130066,0.18920648097991943,0.9124755263328552,0.7819050470177161,0.6309251389342923,0.6292794261493316,0.9259960809928152
1024,256,0.0001,0.18700675666332245,0.9141235947608948,0.18720585107803345,0.9129653573036194,0.7827908411350598,0.6325596600196143,0.6309096837300293,0.9263226649248857
512,512,0.0003,0.18598636984825134,0.9140950441360474,0.19325284659862518,0.9111365079879761,0.7754357044363568,0.6204642039882314,0.618845777632866,0.9239059438275636
512,512,0.0002,0.18657773733139038,0.9135684370994568,0.1908959001302719,0.9132593274116516,0.7773774532673934,0.6235294117647059,0.6221062927942614,0.9245264532984977
512,512,0.0001,0.19178320467472076,0.9124500155448914,0.19175510108470917,0.9125407934188843,0.7738384238955756,0.6187050359712231,0.6168894685360287,0.9235467015022861
512,256,0.0003,0.18662722408771515,0.9139970541000366,0.1930442899465561,0.9105486869812012,0.7775200097456783,0.6251633986928105,0.6237365503749592,0.9248530372305682
512,256,0.0002,0.18721924722194672,0.9138378500938416,0.19883400201797485,0.9089157581329346,0.7739108685059033,0.6181758744687806,0.6165634170198891,0.923448726322665
512,256,0.0001,0.1941274106502533,0.9120499491691589,0.1912553459405899,0.9112344980239868,0.7712844597887045,0.6162144491663942,0.6146071079230518,0.9230568256041802
